"strain","freq","mic","n","dose","run"
"b3",2737229536268.35,1.66810053720006,10,6,4
"b4",2978850560.54542,2.15443469003188,10,6,4
"b5",973.39691571565,2.78255940220712,10,6,4
"b6",0,3.59381366380463,10,6,4
"b7",0,4.64158883361278,10,6,4
"b8",0,5.99484250318941,10,6,4
"b9",0,7.74263682681127,10,6,4
"b10",0,10,10,6,4
"b1",6669475309344.58,1,10,6,5
"b2",6621590057157.26,1.29154966501488,10,6,5
"b3",3092101423336.11,1.66810053720006,10,6,5
"b4",7454005511.70182,2.15443469003188,10,6,5
"b5",10282.5997952511,2.78255940220712,10,6,5
"b6",0,3.59381366380463,10,6,5
"b7",0,4.64158883361278,10,6,5
"b8",0,5.99484250318941,10,6,5
"b9",0,7.74263682681127,10,6,5
"b10",0,10,10,6,5
"b1",6593373048415.15,1,10,6,6
"b2",6756008462207.62,1.29154966501488,10,6,6
"b3",3038447390879.17,1.66810053720006,10,6,6
"b4",3671948766.33175,2.15443469003188,10,6,6
"b5",4788.15472210815,2.78255940220712,10,6,6
"b6",0,3.59381366380463,10,6,6
"b7",0,4.64158883361278,10,6,6
"b8",0,5.99484250318941,10,6,6
"b9",0,7.74263682681127,10,6,6
"b10",0,10,10,6,6
"b1",6678606425381.08,1,10,6,7
"b2",6302375245534.76,1.29154966501488,10,6,7
"b3",3415873120420.35,1.66810053720006,10,6,7
"b4",4817376227.27804,2.15443469003188,10,6,7
"b5",4841.20145038422,2.78255940220712,10,6,7
"b6",0,3.59381366380463,10,6,7
"b7",0,4.64158883361278,10,6,7
"b8",0,5.99484250318941,10,6,7
"b9",0,7.74263682681127,10,6,7
"b10",0,10,10,6,7
"b1",6580454935577.24,1,10,6,8
"b2",6980367388072.86,1.29154966501488,10,6,8
"b3",2819516497864.7,1.66810053720006,10,6,8
"b4",3542860885.33056,2.15443469003188,10,6,8
"b5",90.2586121788567,2.78255940220712,10,6,8
"b6",0,3.59381366380463,10,6,8
"b7",0,4.64158883361278,10,6,8
"b8",0,5.99484250318941,10,6,8
"b9",0,7.74263682681127,10,6,8
"b10",0,10,10,6,8
"b1",6629271290606.91,1,10,6,9
"b2",6629356607917.21,1.29154966501488,10,6,9
"b3",3131997879459.72,1.66810053720006,10,6,9
"b4",2630875017.78462,2.15443469003188,10,6,9
"b5",12032.2643366502,2.78255940220712,10,6,9
"b6",0,3.59381366380463,10,6,9
"b7",0,4.64158883361278,10,6,9
"b8",0,5.99484250318941,10,6,9
"b9",0,7.74263682681127,10,6,9
"b10",0,10,10,6,9
"b1",6696658001999.42,1,10,6,10
"b2",6886261318464.09,1.29154966501488,10,6,10
"b3",2792849592234.98,1.66810053720006,10,6,10
"b4",1841498883.69077,2.15443469003188,10,6,10
"b5",32.3750872582237,2.78255940220712,10,6,10
"b6",0,3.59381366380463,10,6,10
"b7",0,4.64158883361278,10,6,10
"b8",0,5.99484250318941,10,6,10
"b9",0,7.74263682681127,10,6,10
"b10",0,10,10,6,10
"b1",5477723650676.73,1,10,7,1
"b2",5992164894876.27,1.29154966501488,10,7,1
"b3",4516340051606.66,1.66810053720006,10,7,1
"b4",46339360087.045,2.15443469003188,10,7,1
"b5",845675.510915161,2.78255940220712,10,7,1
"b6",0,3.59381366380463,10,7,1
"b7",0,4.64158883361278,10,7,1
"b8",0,5.99484250318941,10,7,1
"b9",0,7.74263682681127,10,7,1
"b10",0,10,10,7,1
"b1",5433268379054.85,1,10,7,2
"b2",5849427384920.08,1.29154966501488,10,7,2
"b3",4683784114315.47,1.66810053720006,10,7,2
"b4",79712622060.6484,2.15443469003188,10,7,2
"b5",2434774.12694685,2.78255940220712,10,7,2
"b6",0,3.59381366380463,10,7,2
"b7",0,4.64158883361278,10,7,2
"b8",0,5.99484250318941,10,7,2
"b9",0,7.74263682681127,10,7,2
"b10",0,10,10,7,2
"b1",5485273388998.02,1,10,7,3
"b2",5908789976247.49,1.29154966501488,10,7,3
"b3",4583319293023.54,1.66810053720006,10,7,3
"b4",59276904794.5983,2.15443469003188,10,7,3
"b5",1082538.97062903,2.78255940220712,10,7,3
"b6",0,3.59381366380463,10,7,3
"b7",0,4.64158883361278,10,7,3
"b8",0,5.99484250318941,10,7,3
"b9",0,7.74263682681127,10,7,3
"b10",0,10,10,7,3
"b1",5433268379054.85,1,10,7,4
"b2",5849427384920.08,1.29154966501488,10,7,4
"b3",4683784114315.47,1.66810053720006,10,7,4
"b4",79712622060.6484,2.15443469003188,10,7,4
"b5",2434774.12694685,2.78255940220712,10,7,4
"b6",0,3.59381366380463,10,7,4
"b7",0,4.64158883361278,10,7,4
"b8",0,5.99484250318941,10,7,4
"b9",0,7.74263682681127,10,7,4
"b10",0,10,10,7,4
"b1",5403326386110.7,1,10,7,5
"b2",5934055371122.71,1.29154966501488,10,7,5
"b3",4651253298744.1,1.66810053720006,10,7,5
"b4",54367215741.4469,2.15443469003188,10,7,5
"b5",724732.280917958,2.78255940220712,10,7,5
"b6",0,3.59381366380463,10,7,5
"b7",0,4.64158883361278,10,7,5
"b8",0,5.99484250318941,10,7,5
"b9",0,7.74263682681127,10,7,5
"b10",0,10,10,7,5
"b1",5407969459058.03,1,10,7,6
"b2",5806173449964.64,1.29154966501488,10,7,6
"b3",4742517514633.4,1.66810053720006,10,7,6
"b4",95278869306.2258,2.15443469003188,10,7,6
"b5",2276681.74382177,2.78255940220712,10,7,6
"b6",0,3.59381366380463,10,7,6
"b7",0,4.64158883361278,10,7,6
"b8",0,5.99484250318941,10,7,6
"b9",0,7.74263682681127,10,7,6
"b10",0,10,10,7,6
"b1",5490195223225.63,1,10,7,7
"b2",5834605887580.72,1.29154966501488,10,7,7
"b3",4658168555984.23,1.66810053720006,10,7,7
"b4",55969754490.8317,2.15443469003188,10,7,7
"b5",1329288.17762958,2.78255940220712,10,7,7
"b6",0,3.59381366380463,10,7,7
"b7",0,4.64158883361278,10,7,7
"b8",0,5.99484250318941,10,7,7
"b9",0,7.74263682681127,10,7,7
"b10",0,10,10,7,7
"b1",5532880581015.12,1,10,7,8
"b2",5867003358387.35,1.29154966501488,10,7,8
"b3",4576739775855.65,1.66810053720006,10,7,8
"b4",56949677769.2161,2.15443469003188,10,7,8
"b5",1848116.37131718,2.78255940220712,10,7,8
"b6",1,3.59381366380463,10,7,8
"b7",0,4.64158883361278,10,7,8
"b8",0,5.99484250318941,10,7,8
"b9",0,7.74263682681127,10,7,8
"b10",0,10,10,7,8
"b1",5551023002984.15,1,10,7,9
"b2",5391707492104.97,1.29154966501488,10,7,9
"b3",4995551967809.44,1.66810053720006,10,7,9
"b4",119306797154.073,2.15443469003188,10,7,9
"b5",5173216.90699637,2.78255940220712,10,7,9
"b6",0,3.59381366380463,10,7,9
"b7",0,4.64158883361278,10,7,9
"b8",0,5.99484250318941,10,7,9
"b9",0,7.74263682681127,10,7,9
"b10",0,10,10,7,9
"b1",5506443712391.64,1,10,7,10
"b2",5094880099364.66,1.29154966501488,10,7,10
"b3",5359777468474.03,1.66810053720006,10,7,10
"b4",112221101813.051,2.15443469003188,10,7,10
"b5",2641587.87386251,2.78255940220712,10,7,10
"b6",0,3.59381366380463,10,7,10
"b7",0,4.64158883361278,10,7,10
"b8",0,5.99484250318941,10,7,10
"b9",0,7.74263682681127,10,7,10
"b10",0,10,10,7,10
"b1",4665110923579.31,1,10,8,1
"b2",5164950473407.71,1.29154966501488,10,8,1
"b3",5286887496882.11,1.66810053720006,10,8,1
"b4",607623064231.351,2.15443469003188,10,8,1
"b5",67794899.7421618,2.78255940220712,10,8,1
"b6",1,3.59381366380463,10,8,1
"b7",0,4.64158883361278,10,8,1
"b8",0,5.99484250318941,10,8,1
"b9",0,7.74263682681127,10,8,1
"b10",0,10,10,8,1
"b1",4629730226019.33,1,10,8,2
"b2",4629635093071.05,1.29154966501488,10,8,2
"b3",5668750988122.26,1.66810053720006,10,8,2
"b4",840181100411.958,2.15443469003188,10,8,2
"b5",89073478.9926214,2.78255940220712,10,8,2
"b6",2,3.59381366380463,10,8,2
"b7",0,4.64158883361278,10,8,2
"b8",0,5.99484250318941,10,8,2
"b9",0,7.74263682681127,10,8,2
"b10",0,10,10,8,2
"b1",4591282931901.29,1,10,8,3
"b2",5121417699682.11,1.29154966501488,10,8,3
"b3",5469882925434.43,1.66810053720006,10,8,3
"b4",548291819348.69,2.15443469003188,10,8,3
"b5",40343487.2917576,2.78255940220712,10,8,3
"b6",0,3.59381366380463,10,8,3
"b7",0,4.64158883361278,10,8,3
"b8",0,5.99484250318941,10,8,3
"b9",0,7.74263682681127,10,8,3
"b10",0,10,10,8,3
"b1",4668468185919.96,1,10,8,4
"b2",5073628030625.52,1.29154966501488,10,8,4
"b3",5283768703850.34,1.66810053720006,10,8,4
"b4",709226597118.969,2.15443469003188,10,8,4
"b5",115997728.996699,2.78255940220712,10,8,4
"b6",2,3.59381366380463,10,8,4
"b7",0,4.64158883361278,10,8,4
"b8",0,5.99484250318941,10,8,4
"b9",0,7.74263682681127,10,8,4
"b10",0,10,10,8,4
"b1",4668865510503.4,1,10,8,5
"b2",4886789261927.9,1.29154966501488,10,8,5
"b3",5461797049138.83,1.66810053720006,10,8,5
"b4",727573839544.172,2.15443469003188,10,8,5
"b5",82159201.018163,2.78255940220712,10,8,5
"b6",2,3.59381366380463,10,8,5
"b7",0,4.64158883361278,10,8,5
"b8",0,5.99484250318941,10,8,5
"b9",0,7.74263682681127,10,8,5
"b10",0,10,10,8,5
"b1",4688517149687.19,1,10,8,6
"b2",5092047169826.62,1.29154966501488,10,8,6
"b3",5426282586802.34,1.66810053720006,10,8,6
"b4",511888040296.429,2.15443469003188,10,8,6
"b5",51583922.7272827,2.78255940220712,10,8,6
"b6",0,3.59381366380463,10,8,6
"b7",0,4.64158883361278,10,8,6
"b8",0,5.99484250318941,10,8,6
"b9",0,7.74263682681127,10,8,6
"b10",0,10,10,8,6
"b1",4653526408997.58,1,10,8,7
"b2",4896974725844.71,1.29154966501488,10,8,7
"b3",5576271030987,1.66810053720006,10,8,7
"b4",612047037503.977,2.15443469003188,10,8,7
"b5",42273836.8948149,2.78255940220712,10,8,7
"b6",0,3.59381366380463,10,8,7
"b7",0,4.64158883361278,10,8,7
"b8",0,5.99484250318941,10,8,7
"b9",0,7.74263682681127,10,8,7
"b10",0,10,10,8,7
"b1",4644730375969.36,1,10,8,8
"b2",5064810525335.77,1.29154966501488,10,8,8
"b3",5490681114487.51,1.66810053720006,10,8,8
"b4",525713746909.897,2.15443469003188,10,8,8
"b5",48089925.6969484,2.78255940220712,10,8,8
"b6",0,3.59381366380463,10,8,8
"b7",0,4.64158883361278,10,8,8
"b8",0,5.99484250318941,10,8,8
"b9",0,7.74263682681127,10,8,8
"b10",0,10,10,8,8
"b1",4653526408997.58,1,10,8,9
"b2",4896974725844.71,1.29154966501488,10,8,9
"b3",5576271030987,1.66810053720006,10,8,9
"b4",612047037503.977,2.15443469003188,10,8,9
"b5",42273836.8948149,2.78255940220712,10,8,9
"b6",0,3.59381366380463,10,8,9
"b7",0,4.64158883361278,10,8,9
"b8",0,5.99484250318941,10,8,9
"b9",0,7.74263682681127,10,8,9
"b10",0,10,10,8,9
"b1",4698291227959.48,1,10,8,10
"b2",5049827292512.6,1.29154966501488,10,8,10
"b3",5348929877519.6,1.66810053720006,10,8,10
"b4",630795312749.068,2.15443469003188,10,8,10
"b5",44769284.2943738,2.78255940220712,10,8,10
"b6",0,3.59381366380463,10,8,10
"b7",0,4.64158883361278,10,8,10
"b8",0,5.99484250318941,10,8,10
"b9",0,7.74263682681127,10,8,10
"b10",0,10,10,8,10
"b1",4001224906114.51,1,10,9,1
"b2",4503614236435.29,1.29154966501488,10,9,1
"b3",5259820824113.61,1.66810053720006,10,9,1
"b4",1676413635777.55,2.15443469003188,10,9,1
"b5",805308824.007703,2.78255940220712,10,9,1
"b6",34.2579918869707,3.59381366380463,10,9,1
"b7",0,4.64158883361278,10,9,1
"b8",0,5.99484250318941,10,9,1
"b9",0,7.74263682681127,10,9,1
"b10",0,10,10,9,1
"b1",3937227099540.55,1,10,9,2
"b2",4072724385619.36,1.29154966501488,10,9,2
"b3",5409195272505.28,1.66810053720006,10,9,2
"b4",2072552779436.26,2.15443469003188,10,9,2
"b5",1384952474.7758,2.78255940220712,10,9,2
"b6",35.4771394064208,3.59381366380463,10,9,2
"b7",0,4.64158883361278,10,9,2
"b8",0,5.99484250318941,10,9,2
"b9",0,7.74263682681127,10,9,2
"b10",0,10,10,9,2
"b1",3980435574773.47,1,10,9,3
"b2",4636340865982.76,1.29154966501488,10,9,3
"b3",5284697682791.93,1.66810053720006,10,9,3
"b4",1527570122338.59,2.15443469003188,10,9,3
"b5",587083363.633535,2.78255940220712,10,9,3
"b6",19.3915724238585,3.59381366380463,10,9,3
"b7",0,4.64158883361278,10,9,3
"b8",0,5.99484250318941,10,9,3
"b9",0,7.74263682681127,10,9,3
"b10",0,10,10,9,3
"b1",3961601679180.51,1,10,9,4
"b2",4515698214149.11,1.29154966501488,10,9,4
"b3",5274748395918.87,1.66810053720006,10,9,4
"b4",1694529235476.94,2.15443469003188,10,9,4
"b5",748784719.14624,2.78255940220712,10,9,4
"b6",21.2100533357534,3.59381366380463,10,9,4
"b7",0,4.64158883361278,10,9,4
"b8",0,5.99484250318941,10,9,4
"b9",0,7.74263682681127,10,9,4
"b10",0,10,10,9,4
"b1",3968871408722.66,1,10,9,5
"b2",4277915554675.4,1.29154966501488,10,9,5
"b3",5436848626322.6,1.66810053720006,10,9,5
"b4",1779036865800.35,2.15443469003188,10,9,5
"b5",756447648.310405,2.78255940220712,10,9,5
"b6",10.0403417765651,3.59381366380463,10,9,5
"b7",0,4.64158883361278,10,9,5
"b8",0,5.99484250318941,10,9,5
"b9",0,7.74263682681127,10,9,5
"b10",0,10,10,9,5
"b1",3945372808575.33,1,10,9,6
"b2",4665112821495.13,1.29154966501488,10,9,6
"b3",5189256284871.24,1.66810053720006,10,9,6
"b4",1637916748578.84,2.15443469003188,10,9,6
"b5",849290170.598283,2.78255940220712,10,9,6
"b6",20.1812944258265,3.59381366380463,10,9,6
"b7",0,4.64158883361278,10,9,6
"b8",0,5.99484250318941,10,9,6
"b9",0,7.74263682681127,10,9,6
"b10",0,10,10,9,6
"b1",3986079554298.75,1,10,9,7
"b2",4197471909902.5,1.29154966501488,10,9,7
"b3",5526529821557.84,1.66810053720006,10,9,7
"b4",1753227804963.36,2.15443469003188,10,9,7
"b5",893392691.278555,2.78255940220712,10,9,7
"b6",27.3490932913243,3.59381366380463,10,9,7
"b7",0,4.64158883361278,10,9,7
"b8",0,5.99484250318941,10,9,7
"b9",0,7.74263682681127,10,9,7
"b10",0,10,10,9,7
"b1",3929403540410.78,1,10,9,8
"b2",4425430760925.96,1.29154966501488,10,9,8
"b3",5283418460611.84,1.66810053720006,10,9,8
"b4",1823601349846.61,2.15443469003188,10,9,8
"b5",1123890881.55758,2.78255940220712,10,9,8
"b6",26.5166518795922,3.59381366380463,10,9,8
"b7",0,4.64158883361278,10,9,8
"b8",0,5.99484250318941,10,9,8
"b9",0,7.74263682681127,10,9,8
"b10",0,10,10,9,8
"b1",4042310324172.6,1,10,9,9
"b2",4371366446342.01,1.29154966501488,10,9,9
"b3",5264897865184.59,1.66810053720006,10,9,9
"b4",1768289522686.14,2.15443469003188,10,9,9
"b5",1564031392.58972,2.78255940220712,10,9,9
"b6",31.2928800560244,3.59381366380463,10,9,9
"b7",0,4.64158883361278,10,9,9
"b8",0,5.99484250318941,10,9,9
"b9",0,7.74263682681127,10,9,9
"b10",0,10,10,9,9
"b1",3954212667705.65,1,10,9,10
"b2",4601121550664.27,1.29154966501488,10,9,10
"b3",5384995085618.23,1.66810053720006,10,9,10
"b4",1492112770731.2,2.15443469003188,10,9,10
"b5",619738154.045393,2.78255940220712,10,9,10
"b6",15.1782911048764,3.59381366380463,10,9,10
"b7",0,4.64158883361278,10,9,10
"b8",0,5.99484250318941,10,9,10
"b9",0,7.74263682681127,10,9,10
"b10",0,10,10,9,10
"b1",3450916098027.83,1,10,10,1
"b2",3954844609732.2,1.29154966501488,10,10,1
"b3",4931015659972.71,1.66810053720006,10,10,1
"b4",2823127643821.48,2.15443469003188,10,10,1
"b5",6450898294.01479,2.78255940220712,10,10,1
"b6",21437.1625930929,3.59381366380463,10,10,1
"b7",0,4.64158883361278,10,10,1
"b8",0,5.99484250318941,10,10,1
"b9",0,7.74263682681127,10,10,1
"b10",0,10,10,10,1
"b1",3413410746060.62,1,10,10,2
"b2",4110106632385.68,1.29154966501488,10,10,2
"b3",4759398655691.59,1.66810053720006,10,10,2
"b4",2874040553361.48,2.15443469003188,10,10,2
"b5",8467509072.75866,2.78255940220712,10,10,2
"b6",45667.907815003,3.59381366380463,10,10,2
"b7",0,4.64158883361278,10,10,2
"b8",0,5.99484250318941,10,10,2
"b9",0,7.74263682681127,10,10,2
"b10",0,10,10,10,2
"b1",3439158769161.63,1,10,10,3
"b2",3758971533332.82,1.29154966501488,10,10,3
"b3",4821957756853.26,1.66810053720006,10,10,3
"b4",3161973289203.76,2.15443469003188,10,10,3
"b5",16262593922.1996,2.78255940220712,10,10,3
"b6",215215.58143726,3.59381366380463,10,10,3
"b7",0,4.64158883361278,10,10,3
"b8",0,5.99484250318941,10,10,3
"b9",0,7.74263682681127,10,10,3
"b10",0,10,10,10,3
"b1",3413410746060.62,1,10,10,4
"b2",4110106632385.68,1.29154966501488,10,10,4
"b3",4759398655691.59,1.66810053720006,10,10,4
"b4",2874040553361.48,2.15443469003188,10,10,4
"b5",8467509072.75866,2.78255940220712,10,10,4
"b6",45667.907815003,3.59381366380463,10,10,4
"b7",0,4.64158883361278,10,10,4
"b8",0,5.99484250318941,10,10,4
"b9",0,7.74263682681127,10,10,4
"b10",0,10,10,10,4
"b1",3428040625664.66,1,10,10,5
"b2",3933880867596.99,1.29154966501488,10,10,5
"b3",4964638684745.46,1.66810053720006,10,10,5
"b4",2837049956479.07,2.15443469003188,10,10,5
"b5",8515895930.25662,2.78255940220712,10,10,5
"b6",26511.4138325515,3.59381366380463,10,10,5
"b7",0,4.64158883361278,10,10,5
"b8",0,5.99484250318941,10,10,5
"b9",0,7.74263682681127,10,10,5
"b10",0,10,10,10,5
"b1",3486149547699.34,1,10,10,6
"b2",3672044275701.96,1.29154966501488,10,10,6
"b3",4876542587374.41,1.66810053720006,10,10,6
"b4",3150961752487.76,2.15443469003188,10,10,6
"b5",9065471727.70359,2.78255940220712,10,10,6
"b6",46957.3446200089,3.59381366380463,10,10,6
"b7",0,4.64158883361278,10,10,6
"b8",0,5.99484250318941,10,10,6
"b9",0,7.74263682681127,10,10,6
"b10",0,10,10,10,6
"b1",3459471256077.95,1,10,10,7
"b2",3716118531288.8,1.29154966501488,10,10,7
"b3",4740421461369.77,1.66810053720006,10,10,7
"b4",3272629436292.7,2.15443469003188,10,10,7
"b5",14206251475.2147,2.78255940220712,10,10,7
"b6",187317.042557087,3.59381366380463,10,10,7
"b7",0,4.64158883361278,10,10,7
"b8",0,5.99484250318941,10,10,7
"b9",0,7.74263682681127,10,10,7
"b10",0,10,10,10,7
"b1",3432907930694.1,1,10,10,8
"b2",3903472061498.6,1.29154966501488,10,10,8
"b3",4966170169391.27,1.66810053720006,10,10,8
"b4",2865510772079.12,2.15443469003188,10,10,8
"b5",6185907224.44467,2.78255940220712,10,10,8
"b6",32634.5528422125,3.59381366380463,10,10,8
"b7",0,4.64158883361278,10,10,8
"b8",0,5.99484250318941,10,10,8
"b9",0,7.74263682681127,10,10,8
"b10",0,10,10,10,8
"b1",3488804452183.93,1,10,10,9
"b2",3207089811591.4,1.29154966501488,10,10,9
"b3",5044998957405.49,1.66810053720006,10,10,9
"b4",3465000049090.33,2.15443469003188,10,10,9
"b5",36244078033.0236,2.78255940220712,10,10,9
"b6",387429.863483088,3.59381366380463,10,10,9
"b7",0,4.64158883361278,10,10,9
"b8",0,5.99484250318941,10,10,9
"b9",0,7.74263682681127,10,10,9
"b10",0,10,10,10,9
"b1",3425383542249.2,1,10,10,10
"b2",3928620676970.34,1.29154966501488,10,10,10
"b3",4885491328955.61,1.66810053720006,10,10,10
"b4",2912349112419.15,2.15443469003188,10,10,10
"b5",28074510636.6442,2.78255940220712,10,10,10
"b6",218297.421529409,3.59381366380463,10,10,10
"b7",0,4.64158883361278,10,10,10
"b8",0,5.99484250318941,10,10,10
"b9",0,7.74263682681127,10,10,10
"b10",0,10,10,10,10
"b1",2975224645274.36,1,10,11,1
"b2",3225427404609.55,1.29154966501488,10,11,1
"b3",4502992380762.82,1.66810053720006,10,11,1
"b4",4018211681126.3,2.15443469003188,10,11,1
"b5",239741309225.459,2.78255940220712,10,11,1
"b6",16022127.1260395,3.59381366380463,10,11,1
"b7",0,4.64158883361278,10,11,1
"b8",0,5.99484250318941,10,11,1
"b9",0,7.74263682681127,10,11,1
"b10",0,10,10,11,1
"b1",3076971187480.68,1,10,11,2
"b2",3320984977155.75,1.29154966501488,10,11,2
"b3",4551376598838.81,1.66810053720006,10,11,2
"b4",3846002437006.59,2.15443469003188,10,11,2
"b5",113564400947.923,2.78255940220712,10,11,2
"b6",13651949.0740123,3.59381366380463,10,11,2
"b7",0,4.64158883361278,10,11,2
"b8",0,5.99484250318941,10,11,2
"b9",0,7.74263682681127,10,11,2
"b10",0,10,10,11,2
"b1",3008849790030.43,1,10,11,3
"b2",3362265843482.42,1.29154966501488,10,11,3
"b3",4378432926129.86,1.66810053720006,10,11,3
"b4",4055727957740.22,2.15443469003188,10,11,3
"b5",125263722812.915,2.78255940220712,10,11,3
"b6",5030893.32060349,3.59381366380463,10,11,3
"b7",0,4.64158883361278,10,11,3
"b8",0,5.99484250318941,10,11,3
"b9",0,7.74263682681127,10,11,3
"b10",0,10,10,11,3
"b1",2990104704577.18,1,10,11,4
"b2",3018911032688.18,1.29154966501488,10,11,4
"b3",4794002140928.56,1.66810053720006,10,11,4
"b4",3967198634795.21,2.15443469003188,10,11,4
"b5",193392750011.099,2.78255940220712,10,11,4
"b6",8433593.85607048,3.59381366380463,10,11,4
"b7",0,4.64158883361278,10,11,4
"b8",0,5.99484250318941,10,11,4
"b9",0,7.74263682681127,10,11,4
"b10",0,10,10,11,4
"b1",3026118933944.52,1,10,11,5
"b2",3302530210815.33,1.29154966501488,10,11,5
"b3",4747594684945.87,1.66810053720006,10,11,5
"b4",3699339600273.15,2.15443469003188,10,11,5
"b5",140197969021.126,2.78255940220712,10,11,5
"b6",5765353.27726952,3.59381366380463,10,11,5
"b7",0,4.64158883361278,10,11,5
"b8",0,5.99484250318941,10,11,5
"b9",0,7.74263682681127,10,11,5
"b10",0,10,10,11,5
"b1",3025388689266.68,1,10,11,6
"b2",3262819876954.92,1.29154966501488,10,11,6
"b3",4678359217644.83,1.66810053720006,10,11,6
"b4",3869395990949.01,2.15443469003188,10,11,6
"b5",81529179795.0391,2.78255940220712,10,11,6
"b6",1931280.81796878,3.59381366380463,10,11,6
"b7",0,4.64158883361278,10,11,6
"b8",0,5.99484250318941,10,11,6
"b9",0,7.74263682681127,10,11,6
"b10",0,10,10,11,6
"b1",3063612284004.71,1,10,11,7
"b2",3294132627388.88,1.29154966501488,10,11,7
"b3",4120559078209.82,1.66810053720006,10,11,7
"b4",4268856798958.05,2.15443469003188,10,11,7
"b5",201476561950.303,2.78255940220712,10,11,7
"b6",7176767.51234187,3.59381366380463,10,11,7
"b7",3.07612144695421,4.64158883361278,10,11,7
"b8",0,5.99484250318941,10,11,7
"b9",0,7.74263682681127,10,11,7
"b10",0,10,10,11,7
"b1",3063612284004.71,1,10,11,8
"b2",3294132627388.88,1.29154966501488,10,11,8
"b3",4120559078209.82,1.66810053720006,10,11,8
"b4",4268856798958.05,2.15443469003188,10,11,8
"b5",201476561950.303,2.78255940220712,10,11,8
"b6",7176767.51234187,3.59381366380463,10,11,8
"b7",3.07612144695421,4.64158883361278,10,11,8
"b8",0,5.99484250318941,10,11,8
"b9",0,7.74263682681127,10,11,8
"b10",0,10,10,11,8
"b1",2973739909357.1,1,10,11,9
"b2",3429816631043.29,1.29154966501488,10,11,9
"b3",4852797364837.73,1.66810053720006,10,11,9
"b4",3535608726879.22,2.15443469003188,10,11,9
"b5",110688299205.309,2.78255940220712,10,11,9
"b6",4644190.52605532,3.59381366380463,10,11,9
"b7",0,4.64158883361278,10,11,9
"b8",0,5.99484250318941,10,11,9
"b9",0,7.74263682681127,10,11,9
"b10",0,10,10,11,9
"b1",2990312424940.55,1,10,11,10
"b2",3382384667059.21,1.29154966501488,10,11,10
"b3",4287265613728.16,1.66810053720006,10,11,10
"b4",4042677652643.37,2.15443469003188,10,11,10
"b5",248065741650.497,2.78255940220712,10,11,10
"b6",10035057.4933696,3.59381366380463,10,11,10
"b7",0,4.64158883361278,10,11,10
"b8",0,5.99484250318941,10,11,10
"b9",0,7.74263682681127,10,11,10
"b10",0,10,10,11,10
"b1",2596031351739.3,1,10,12,1
"b2",3059103532741.46,1.29154966501488,10,12,1
"b3",3956182328891.38,1.66810053720006,10,12,1
"b4",4482701769423.69,2.15443469003188,10,12,1
"b5",614708543209.94,2.78255940220712,10,12,1
"b6",61992685.8523518,3.59381366380463,10,12,1
"b7",6.75837375020574,4.64158883361278,10,12,1
"b8",0,5.99484250318941,10,12,1
"b9",0,7.74263682681127,10,12,1
"b10",0,10,10,12,1
"b1",2626260180676.07,1,10,12,2
"b2",3157260599067.61,1.29154966501488,10,12,2
"b3",4147517154871.07,1.66810053720006,10,12,2
"b4",4073357426207.21,2.15443469003188,10,12,2
"b5",676040191954.923,2.78255940220712,10,12,2
"b6",89886766.1044823,3.59381366380463,10,12,2
"b7",7.42634723116566,4.64158883361278,10,12,2
"b8",0,5.99484250318941,10,12,2
"b9",0,7.74263682681127,10,12,2
"b10",0,10,10,12,2
"b1",2634936358969.61,1,10,12,3
"b2",2959564510096.07,1.29154966501488,10,12,3
"b3",4090628314737.2,1.66810053720006,10,12,3
"b4",4480877768213.71,2.15443469003188,10,12,3
"b5",531761679618.672,2.78255940220712,10,12,3
"b6",64643248.6360264,3.59381366380463,10,12,3
"b7",0,4.64158883361278,10,12,3
"b8",0,5.99484250318941,10,12,3
"b9",0,7.74263682681127,10,12,3
"b10",0,10,10,12,3
"b1",2640998782728.37,1,10,12,4
"b2",3258575491140.77,1.29154966501488,10,12,4
"b3",4151810029282.54,1.66810053720006,10,12,4
"b4",4243771344182.67,2.15443469003188,10,12,4
"b5",338030135546.068,2.78255940220712,10,12,4
"b6",29397360.9894046,3.59381366380463,10,12,4
"b7",0,4.64158883361278,10,12,4
"b8",0,5.99484250318941,10,12,4
"b9",0,7.74263682681127,10,12,4
"b10",0,10,10,12,4
"b1",2640521804192.88,1,10,12,5
"b2",3032273028972.91,1.29154966501488,10,12,5
"b3",4157319275792.68,1.66810053720006,10,12,5
"b4",4368729014550.4,2.15443469003188,10,12,5
"b5",478921225931.722,2.78255940220712,10,12,5
"b6",46636926.9789151,3.59381366380463,10,12,5
"b7",0,4.64158883361278,10,12,5
"b8",0,5.99484250318941,10,12,5
"b9",0,7.74263682681127,10,12,5
"b10",0,10,10,12,5
"b1",2652033047348.28,1,10,12,6
"b2",3201247965806.56,1.29154966501488,10,12,6
"b3",4110627253427.81,1.66810053720006,10,12,6
"b4",4146402355093.95,2.15443469003188,10,12,6
"b5",549325403211.676,2.78255940220712,10,12,6
"b6",65708671.2950316,3.59381366380463,10,12,6
"b7",3,4.64158883361278,10,12,6
"b8",0,5.99484250318941,10,12,6
"b9",0,7.74263682681127,10,12,6
"b10",0,10,10,12,6
"b1",2640440625244.83,1,10,12,7
"b2",3205557296542.25,1.29154966501488,10,12,7
"b3",4132554206407.82,1.66810053720006,10,12,7
"b4",4290186244455.02,2.15443469003188,10,12,7
